"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ALLOGRAFT_REJECTION",0.000165487970553137,0.00827439852765684,0.518848077743792,0.379916073286956,1.56332821106202,190,"TRAT1;CD2;CD3E;TNF;CD3G;RPL3L;STAB1;LY86;LTB;CD3D;CCR5;CD8B;ITK;HLA-DQA1;PRF1;BCAT1;IL2RA;CD96;NCR1;HLA-DOA;CFP;HLA-DMB;LCK;CTSS;CD247;CD8A;CD7;FYB1;FASLG;HLA-DRA;TGFB2;NLRP3;CXCL13;ZAP70;HLA-DOB;SIT1;IL13;CCL7;FCGR2B;CCL5;MMP9;FGR;IL7;CD40;FAS;RPL9;HLA-G;SOCS1;RPL39;IFNGR2;GPR65;CD28;RPS3A;B2M"
"HALLMARK_MITOTIC_SPINDLE",0.00120925594491066,0.0302313986227665,0.45505986738723,-0.41827412329618,-1.51891205971937,199,"BCAR1;FGD4;FGD6;CNTROB;SORBS2;MID1;ARHGEF11;BCR;TIAM1;CCDC88A;LLGL1;ANLN;CENPJ;KIF15;NDC80;CDC42BPA;TTK;KIF4A;CEP72;EPB41L2;CENPE;ITSN1;ECT2;ALMS1;INCENP;DLGAP5;TOP2A;SMC4;KIF11;TBCD;ARHGEF12;ESPL1;DST;PLK1;DOCK4;RAPGEF5;CENPF;PRC1;KIF2C;CEP131;FSCN1;CDK1;KNTC1;TPX2;NUSAP1;SYNPO;BRCA2;NET1;KIF23;NEK2;PKD2;PLEKHG2;TUBGCP5;MAP1S;PDLIM5;RACGAP1;ABR;CKAP5;PCNT;CDC42EP4;ARHGAP5;CDK5RAP2;NCK1;RASAL2;CEP192;KIF20B;NOTCH2;ARHGEF3;ARHGAP10;KIF22;BIRC5;SMC1A;SOS1;ABL1;CD2AP;CCNB2;TUBGCP3;OPHN1;KPTN;ATG4B;DOCK2;AURKA;TUBD1;LMNB1;CLASP1;SASS6;ARHGEF7;FBXO5;RHOT2;DLG1;PREX1;PXN;EPB41;NF1;PPP4R2;ABI1;BUB1;KATNA1;ARFGEF1;RANBP9;WASF1;PAFAH1B1;SAC3D1;NUMA1;TLK1;RABGAP1;RAPGEF6;VCL;WASL;RICTOR;TAOK2;ALS2;TSC1;CDC42EP1;KIF3B;TRIO;NCK2;DYNC1H1;BCL2L11;SPTBN1;KLC1;MAPRE1;LRPPRC;CEP250"
"HALLMARK_E2F_TARGETS",0.00331416767671724,0.0414270959589656,0.431707695803346,-0.40272839020772,-1.46198975196667,198,"TCF19;KIF18B;CDKN1A;TRIP13;PLK4;DIAPH3;AURKB;CIT;SPC24;RRM2;MELK;RFC3;BRCA1;POLE;SPAG5;CDC25A;KIF4A;DCLRE1B;RAD51AP1;MKI67;CENPE;SPC25;POLD1;MMS22L;MYBL2;DLGAP5;RNASEH2A;GINS1;MXD3;TIMELESS;TOP2A;SMC4;CDCA3;CHEK1;PRIM2;DEPDC1;ESPL1;DSCC1;PLK1;ATAD2;CDCA8;MCM7;KIF2C;CDC20;CDK1;GINS3;BRCA2;E2F8;TACC3;POLA2;CDKN3;HELLS;SHMT1;NCAPD2;WDR90;BARD1;CDKN2A;RACGAP1;SUV39H1;PTTG1;ASF1B;MSH2;CCP110;CHEK2;CSE1L;CDC25B;TFRC;NUP205;PDS5B;BUB1B;KIF22;GINS4;BIRC5;EZH2;SMC1A;CCNB2;MCM2;DNMT1;NUP107;ORC6;STAG1;DONSON;RAD51C;PSMC3IP;MLH1;PCNA;HMGB3;AURKA;TK1;CTPS1;CBX5;TMPO;LMNB1;UBE2S;TUBB;PRKDC;LIG1;ING3;POLD2;HMGB2"
"HALLMARK_G2M_CHECKPOINT",0.00320722641108145,0.0414270959589656,0.431707695803346,-0.402008098112087,-1.4535006498139,194,"EGF;PLK4;POLQ;EXO1;AURKB;STIL;POLE;KIF15;NDC80;CDC25A;TTK;KIF4A;RAD54L;TENT4A;FANCC;MKI67;E2F1;CENPE;INCENP;MYBL2;SLC7A5;TOP2A;SMC4;CHEK1;PRIM2;KIF11;CDC45;ESPL1;GINS2;PLK1;CENPF;PRC1;CCNF;TROAP;KIF2C;CDC20;E2F2;KNL1;PBK;CDK1;CHAF1A;TPX2;NUSAP1;CDC6;BRCA2;MAP3K20;KIF23;TACC3;NEK2;CENPA;POLA2;CDKN3;SMC2;BARD1;RACGAP1;SUV39H1;UCK2;MEIS2;TRAIP;CDC7;PTTG1;CCNA2;DMD;RBL1;RASAL2;CDC25B;KIF20B;NOTCH2;NSD2;UBE2C;PDS5B;KIF22;BIRC5;EZH2;SMC1A;ABL1;CCNB2;MCM2;WRN;TNPO2;ORC6;STAG1;E2F3;CASP8AP2;CHMP1A;MT2A;HMGB3;AURKA;SLC12A2;SLC7A1;TMPO;DTYMK;LMNB1;UBE2S;FBXO5;MNAT1;FOXN3;KPNA2;KMT5A;MCM3;BUB1;MCM6;CKS2;NUP50;KATNA1;MAPK14;NUP98;ODF2;PAFAH1B1;NUMA1;CUL1;TLE3;TRA2B;SS18;UPF1;EFNA5;PML;STMN1;CDKN2C;ILF3;MTF2;HMGA1;ORC5;CKS1B;NASP;SAP30;CDC27;DR1;SYNCRIP;SRSF1;CUL4A;EWSR1;YTHDC1;CTCF"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0222561480267904,0.222561480267904,0.352487857583619,0.310310713000958,1.28219226137868,200,"PDK4;MAOB;NQO2;PDHB;TIMM10;ACADSB;COX7A2L;BCKDHA;ATP6V0E1;SLC25A6;ISCU;CYB5A;MRPS30;HTRA2;ATP6V1G1;MRPL11;OXA1L;TIMM13;NDUFB8;ECHS1;PRDX3;HADHA;NDUFB5;ATP6V0C;NDUFAB1;NDUFA5;UQCRB;ATP6V1F;COX4I1;COX7C;NDUFC2;SLC25A3;SDHB;UQCRFS1;MRPL34;PDHA1;MRPL15;DECR1;MRPL35;ECI1;HCCS;TOMM22;LDHB;SDHC;PHB2;NDUFA7;VDAC2;CYCS;NDUFB2;ATP6V1D;NDUFB3;VDAC1;UQCRH;ATP5PF;ATP5PB;TIMM17A;GPX4;POR;COX17;IDH1;ATP5MC2;COX7A2;NDUFS3;MTRF1;ECH1;ATP6V0B;SURF1;COX5A;ATP5F1A;GLUD1;UQCR10;SDHD;MGST3;BDH2;IMMT;MRPS12;CYB5R3;SLC25A11;ATP5F1C;IDH3G;TIMM9;UQCRC2;VDAC3;ALDH6A1;SLC25A5;ATP5MG;ATP5PD;MRPS15;COX11;DLD;ACAA1;SLC25A20;GOT2;NDUFB6;TOMM70;FH;NDUFA4;ATP5F1D;OAT;COX7B;BAX;PMPCA;ACADVL;ACAA2;NDUFA8;MDH2"
"HALLMARK_MYC_TARGETS_V1",0.0877024167449629,0.730853472874691,0.287805130535564,0.282917998616385,1.16650638517466,195,"U2AF1;DEK;EEF1B2;RPL34;IMPDH2;RPS3;SSB;RPL18;RPL6;RPS6;C1QBP;RACK1;SF3A1;RPS10;NPM1;HNRNPA1;RPS2;MYC;HSP90AB1;RPS5;RPL22;RPLP0;CLNS1A;GLO1;PRDX3;NAP1L1;RPL14;SNRPB2;PCBP1;CCT2;CCT3;NDUFAB1;RSL1D1;MRPL23;HSPD1;CNBP;CCT4;DDX18;APEX1;AIMP2;PTGES3;PSMA4;SSBP1;SLC25A3;MRPL9;EIF1AX;EIF3D;GNL3;SRSF2;ERH;VBP1;NCBP2;SRSF7;CAD;PSMD8;PHB2;RAN;COPS5;SNRPD3;PSMA2;ABCE1;PSMA1;SET;VDAC1;ACP1;EXOSC7;SERBP1;HSPE1;UBE2L3;LSM7;EIF4A1;TCP1;AP3S1;EIF2S2;LSM2;SNRPD1;ILF2;SNRPA1;COX5A;PSMA6;SNRPD2;SRSF3;DDX21;STARD7;PRDX4;UBA2;CDK4;PWP1;VDAC3;BUB3;PABPC4;EIF3B;HNRNPU;PABPC1;PRPF31;GOT2;RANBP1;XRCC6;PPIA;PSMC6;G3BP1;SNRPA;TOMM70;PSMD7;HNRNPA3"
"HALLMARK_ADIPOGENESIS",1,1,0.0228693972350018,-0.135610276023184,-0.492452370828669,199,"REEP6;ACADL;ME1;ADIG;FABP4;C3;ADCY6;SULT1A1;ABCA1;GPX3;LTC4S;DNAJC15;SLC25A10;SCARB1;SNCG;MRAP;ITSN1;SORBS1;GPD2;GPAT4;GPHN;BCL6;EPHX2;GPAM;RREB1;RETN;CIDEA"
"HALLMARK_ANDROGEN_RESPONSE",0.951153324287653,1,0.0298484971250709,-0.215426722715759,-0.723487716428805,99,"STEAP4;GUCY1A1;AZGP1;KLK3;SPDEF;BMPR1B;MAP7;HOMER2;ITGAV;INSIG1;STK39;RRP12;SLC38A2;ELL2;ABHD2"
"HALLMARK_ANGIOGENESIS",0.241001564945227,1,0.107140237276725,-0.410691479339681,-1.16472956037672,36,"KCNJ8;SLCO2A1;PF4;OLR1;SERPINA5;VTN;JAG2;PGLYRP1;CCND2;VAV2;ITGAV;TNFRSF21;MSX1"
"HALLMARK_APICAL_JUNCTION",0.959390862944162,1,0.0259735747969448,-0.208316457640534,-0.752268814641712,193,"LAMA3;CLDN18;CLDN4;CLDN6;VCAM1;EVL;CDH8;CDH6;ACTN2;KCNH2;GRB7;CALB2;ACTN3;NFASC;BMP1;ITGB4;PIK3R3;CDH3;LAYN;COL17A1;LIMA1;TNFRSF11B;VAV2;CD274;EPB41L2;CLDN7;THBS3;ADAMTS5;PECAM1;ADRA1B;INSIG1;TRO;CNTN1;NLGN2;FSCN1;CLDN15;MAP3K20;CLDN11"
