"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",5.44330201706364e-11,2.72165100853182e-09,0.851339057116899,0.597901005870772,1.99050611395325,195,"SSB;CAD;SNRPD3;SNRPB2;RPS10;VBP1;U2AF1;PRDX3;RPL22;RSL1D1;CDK2;RPS6;PABPC4;RANBP1;RPL18;RPLP0;GLO1;PPIA;RPL14;DEK;RUVBL2;NPM1;PHB2;RPS3;SSBP1;RAN;LSM2;RPS2;RACK1;PRPF31;RPL6;EEF1B2;SNRPG;HDDC2;RPL34;VDAC1;SET;CDK4;HSPD1;PSMA2;RPS5;EIF1AX;HNRNPA1;VDAC3;PSMA4;DDX18;LDHA;COX5A;SLC25A3;HSPE1;RNPS1;NAP1L1;CLNS1A;PCNA;PSMB2;PTGES3;MCM4;UBE2L3;CCNA2;RRM1;NOLC1;HSP90AB1;NDUFAB1;SNRPD1;IMPDH2;CANX;HNRNPD;EXOSC7;MCM6;MYC;APEX1;DUT;PSMA1;ODC1;PSMB3;ERH;NME1;MRPL9;ABCE1;ETF1;PSMA6;SNRPD2;CCT4;CCT5;FBL;PA2G4;PSMA7;HNRNPU;SNRPA;XPO1;PPM1G;LSM7;PRDX4;MCM5;PGK1;PABPC1;CCT3;CNBP;SRPK1;CCT2;SRSF2;CBX3;C1QBP;EIF2S2;BUB3;MCM7;HNRNPA2B1;PSMD8;EIF4H;SERBP1;NHP2;USP1;CCT7;PCBP1;XPOT;HPRT1;YWHAQ;SRSF3;MAD2L1;PSMD7;G3BP1;SRM;EIF4A1;TARDBP;HDGF;MCM2;TXNL4A;XRCC6;CYC1;UBA2;EIF4G2;HNRNPA3;HNRNPR;ACP1;TCP1;EIF2S1;COPS5;AIMP2;GOT2;ILF2;PSMC4;SF3A1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",4.95197516163773e-08,1.23799379040943e-06,0.719512826338911,0.548196042715263,1.83114775460762,200,"MRPL15;BDH2;ECHS1;MRPL35;GPX4;CYB5A;ATP6V1G1;COX7A2L;MRPL11;PRDX3;MTRF1;ECH1;COX8A;LDHB;ACAA2;HTRA2;ACADSB;MPC1;ATP5MC1;COX4I1;PHB2;ATP6V1E1;ATP5PF;MRPL34;ATP6V0E1;TOMM22;NDUFA8;RHOT2;ATP6V0C;BAX;VDAC1;ATP5MC3;ACAA1;NDUFB8;MDH1;NDUFS8;SLC25A6;ATP5MC2;ISCU;MRPS12;UQCRFS1;VDAC3;NDUFB3;LDHA;COX5A;VDAC2;UQCRH;SLC25A3;POLR2F;COX7C;IDH3B;ALAS1;NDUFC1;MRPS11;UQCRB;ECI1;COX17;MAOB;ATP6V1F;NDUFA2;HSD17B10;NDUFAB1;ATP6V1D;PHYH;GRPEL1;CYB5R3;SLC25A5;COX5B;UQCR11;BCKDHA;COX6B1;MRPS22;ATP5PO;AIFM1;SDHC;MTRR;COX6A1;UQCRQ;ATP5F1C;TIMM17A;COX7B;MRPS15;ATP5MG;SUCLG1;ATP6AP1;UQCR10;POR;NDUFB4;NDUFB6;NDUFS3;TIMM50;DLST;SLC25A11;NDUFA4;NDUFB5;ETFB;NDUFB1;MDH2;MGST3;TIMM10;NDUFC2;COX6C;NDUFV2;TIMM13;RETSAT;ALDH6A1;COX7A2;HADHA;NQO2;ATP6V0B;NDUFA7;TIMM8B;FDX1;SDHD;CYCS;DLD;SLC25A20;ATP5PB;ATP5PD;ATP5F1B;CYC1;ATP5F1E;NDUFB7;HCCS;OXA1L;NDUFA9"
"HALLMARK_INFLAMMATORY_RESPONSE",3.10700650570389e-06,5.17834417617315e-05,0.627256739718528,0.509904882176157,1.69970586705748,197,"CCL17;LAMP3;KCNMB2;SLC1A2;IL7R;RNF144B;INHBA;SLC4A4;CCL22;AQP9;IFITM1;TNFRSF9;CSF1;IL10;IL1R1;TLR1;HBEGF;CXCL11;IL6;CCR7;IL18;IL1A;OLR1;C3AR1;PTGER2;TNFAIP6;LPAR1;CXCL8;PTAFR;ITGB3;CD48;GP1BA;RHOG;SCN1B;OSM;TNFSF10;HAS2;IL12B;PTGER4;SPHK1;CCRL2;RELA;SLC7A2;PLAUR;SELL;MET;PTPRE;CD70;F3;CCL20;CYBB;EBI3;LY6E;SCARF1;RTP4;TLR2;CXCL9;CDKN1A;ADRM1;IRF1;BST2;CXCL10;ICOSLG;GCH1"
"HALLMARK_ALLOGRAFT_REJECTION",1.93609928192386e-05,0.000199488327283991,0.575610261071129,0.495509130713522,1.64739091972055,190,"INHBA;CCL22;CD3E;CD7;CSF1;CD2;CD3G;CD247;HLA-DOA;CD80;IL10;TLR1;FYB1;IL6;ELF4;IL18;SIT1;FCGR2B;HLA-DQA1;LTB;ZAP70;CD86;UBE2D1;CFP;IL7;GZMA;IL12B;JAK2;FAS;CAPG;IL16;HLA-DRA;WAS;HLA-DOB;RPL39;B2M;RPS3A;IL2RA;LY86;TLR6;RPL9;SOCS1;CD96;CD3D;NPM1;IFNGR1;CTSS;HLA-DMA;PSMB10;RPS19;TLR2;GBP2;CXCL9;BCL10;GPR65;ICOSLG;CXCR3;UBE2N;SOCS5;NCF4;GLMN;EREG;SRGN;IFNGR2;THY1;IRF8;CD40;HLA-DMB;BCAT1;DEGS1;NME1;IGSF6;TAP1;ABCE1;CSK;RPS9;HLA-E;ITGB2;IL27RA;TNF;CD79A;CD74;HCLS1;CCND3;AKT1;PTPN6;RIPK2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.99488327283991e-05,0.000199488327283991,0.575610261071129,0.493455103784111,1.64676177045374,199,"ETS2;IL7R;INHBA;BCL2A1;NR4A3;TNFRSF9;CSF1;CD80;ID2;RHOB;CEBPD;HBEGF;CXCL11;IL6;BTG1;CXCL3;DNAJB4;IL18;IL1A;OLR1;DUSP1;KLF4;TGIF1;TNFAIP6;MAFF;TUBB2A;PHLDA2;PLPP3;MSC;CXCL1;GADD45B;EFNA1;PNRC1;IL12B;SMAD3;PLEK;PTGER4;TNIP2;SAT1;CSF2;SPHK1;CCRL2;RELA;MARCKS;ACKR3;KLF9;TNFAIP3;NFIL3;SDC4;RNF19B;PLAUR;ZC3H12A;NINJ1;PLK2;IER3;IER5;REL;KDM6B;IL23A;PTPRE;F3;CCL20;FOSL2;KYNU;SNN;CD83;CD44;TLR2;CDKN1A;IRF1;TNFAIP2;EIF1;CXCL10;ICOSLG;DUSP2;PER1;GCH1;SERPINB8;CCND1;YRDC;TRAF1;CXCL6;IFNGR2;MYC;ZFP36;SOCS3;BIRC3;DUSP5;TAP1;MXD1;BIRC2;CEBPB;IFIT2;SOD2;BHLHE40"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",3.82886244689337e-05,0.000319071870574448,0.557332238758646,0.581365245980317,1.80595345803541,96,"LAMP3;UBA7;IFITM1;IFI44;CSF1;OASL;PROCR;CXCL11;LPAR6;NUB1;IFITM2;TRIM5;IFIT3;IL7;DDX60;CASP1;BATF2;PSMB9;CCRL2;B2M;IFI30;IRF9;SELL;UBE2L6;DHX58;PSME1;GMPR;MX1;LY6E;PARP14;HLA-C;MOV10;RTP4;GBP2;IRF1;BST2;CXCL10;SLC25A28;TRIM25;TRIM21;OAS1;SAMD9L;TXNIP;ISG20;TAP1;OGFR;IFIT2;PSMB8;PSMA3;GBP4;LGALS3BP;CD74;PSME2"
"HALLMARK_MITOTIC_SPINDLE",0.000445065335570461,0.00317903811121758,0.49849310876659,-0.4352012353051,-1.49671694717999,199,"KIF3C;BCR;MID1;CTTN;CNTROB;BCAR1;ALMS1;KPTN;NEDD9;PLK1;CEP131;KIF3B;INCENP;TBCD;KIF15;CENPE;TUBGCP6;OPHN1;FGD6;ANLN;PLEKHG2;TUBGCP3;KNTC1;EPB41;KIF22;CLIP2;CCDC88A;ARHGAP5;SORBS2;ARHGEF7;PKD2;WASF1;ARHGEF2;TLK1;TSC1;KLC1;DST;CDC27;ARHGEF12;RAPGEF6;ABL1;SMC4;CDK5RAP2;NDC80;ALS2;TUBD1;NCK2;PDLIM5;CENPF;KIF11;TRIO;RFC1;ROCK1;CKAP5;DLG1;SUN2;DOCK2;DLGAP5;RAPGEF5;RACGAP1;AURKA;WASL;RANBP9;BCL2L11;VCL;CLASP1;ARHGAP29;ARFGEF1;KIF20B;EPB41L2;KIF2C;SOS1;RASA1;SPTBN1;ABR;BRCA2;CEP192;ARHGAP27;NEK2;MAPRE1;PXN;MAP3K11;NF1;RICTOR;SPTAN1;LATS1;TPX2;FLNA;ATG4B;CEP72;KIF4A;ESPL1;TAOK2;TUBGCP5;PAFAH1B1;TIAM1;ITSN1;SEPTIN9;LMNB1;NCK1;MYH10;NOTCH2;SHROOM1;PREX1;CD2AP;SMC1A;TUBA4A;BUB1;ARHGAP4;MYH9;MARK4;CENPJ;SSH2;PCGF5;CDC42BPA"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00150151973977463,0.00938449837359144,0.45505986738723,0.518587110895605,1.5703735787598,85,"A2M;CSF1;IL13RA1;IL1R1;CSF2RA;CXCL11;IL6;CXCL3;LTB;CXCL1;ITGB3;IL7;IL1R2;FAS;CSF2;IL9R;ACVRL1;IL2RA;IRF9;SOCS1;TNFRSF21;IL10RB;IFNGR1;IL3RA;EBI3;CD44;HMOX1;IL17RA;TLR2;CXCL9;IRF1;CXCL10"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00372168963583495,0.0206760535324164,0.431707695803346,0.424307740826991,1.41292066841154,196,"IDO1;IFI44;UPP1;OASL;CXCL11;IL6;BTG1;FGL2;IL18BP;IFITM2;HLA-DQA1;TNFAIP6;CD86;IFIT3;IL7;GZMA;DDX60;CIITA;TNFSF10;JAK2;FAS;HLA-DRB1;CASP1;CFH;BATF2;PSMB9;B2M;LATS2;TNFAIP3;IFI30;IRF9;UBE2L6;CD274;PML;SOCS1;VCAM1;DHX58;PSME1;MX1;LY6E;HLA-DMA;RBCK1;PARP14;PSMB10;RTP4;CXCL9;CDKN1A;PSMA2;IRF1;BST2;NOD1;TNFAIP2;CXCL10;GCH1;SLC25A28;TRIM25;TRIM21;FPR1;PSMB2;VAMP8;ARL4A;SAMD9L;IRF8;CD40;HLA-B;SOCS3;TXNIP;ISG20;TAP1;OGFR;CASP4;FCGR1A;XCL1;IFIT2;SOD2;PSMB8;PSMA3;GBP4;PNP;NFKB1;PIM1;XAF1;LGALS3BP;CASP3;NFKBIA;CD74;OAS2;PSME2;MYD88;PTPN6;RIPK2;PTPN1"
"HALLMARK_KRAS_SIGNALING_UP",0.00508857058008935,0.0254428529004467,0.407017918923954,0.412714570403851,1.37573379125479,197,"TMEM176B;IL7R;INHBA;PECAM1;SNAP25;ETV5;ID2;ADAMDEC1;CSF2RA;HBEGF;EPB41L3;TMEM176A;KLF4;C3AR1;PRKG2;CA2;BTBD3;SCN1B;GPNMB;ARG1;SPON1;MMP11;CFH;CXCR4;CSF2;ZNF639;IL1RL2;TNFAIP3;SOX9;APOD;FBXO4;NAP1L2;PLAUR;ENG;CD37;MMD;IGFBP3;JUP"
