"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1.01347846189628e-10,1.8242612314133e-09,0.839088935621274,0.466846435928394,2.98376671964588,49,"OXSR1;GLRX;CAT;GLRX2;STK25;JUNB;PRNP;PDLIM1;NDUFS2;HHEX;EGLN2;TXNRD1;MPO;FES;PRDX4;TXN;SRXN1;LSP1;FTL;GPX4;SBNO2;PFKP;CDKN2D;SOD1;GSR;IPCEF1;ABCC1;LAMTOR5;ATOX1;PRDX6;PRDX2;SELENOS;NDUFA6;MBP;HMOX2;PTPA;NDUFB4;PRDX1;G6PD;GCLC;MGST1;SCAF4;TXNRD2;SOD2;NQO1;MSRA;GCLM"
"HALLMARK_MYC_TARGETS_V2",6.10432853839028e-08,5.49389568455125e-07,0.704975715167238,0.372803345965951,2.59431146774339,57,"MYC;RCL1;PES1;HK2;TCOF1;NOP16;SRM;TFB2M;EXOSC5;NIP7;RRP9;RABEPK;WDR74;DCTPP1;SLC19A1;MCM5;GRWD1;PA2G4"
"HALLMARK_TGF_BETA_SIGNALING",3.43576816614973e-05,0.000206146089968984,0.557332238758646,0.296677794216799,1.97718569138843,54,"TGIF1;PMEPA1;HIPK2;ID3;PPM1A;KLF10;JUNB;SMAD7;ID1;BCAR3;ENG;HDAC1;SMURF1;SMAD3;IFNGR2;FKBP1A;RHOA;UBE2D3;PPP1R15A;APC;CDKN1C;MAP3K7;NOG;TJP1;ARID4B;BMPR1A;SPTBN1;FNTA;PPP1CA;CTNNB1;ACVR1;BMPR2;FURIN;SMURF2;RAB31;SKIL;SLC20A1;THBS1;SERPINE1;WWTR1;ID2;TRIM33;TGFBR1;CDK9;XIAP;TGFB1;NCOR2"
"HALLMARK_HEDGEHOG_SIGNALING",0.0591537786721959,0.266192004024881,0.321775918075361,0.214811854066228,1.21076350739913,36,"VEGFA;ADGRG1;TLE1;NRP1;PTCH1;PML;ETS2;LDB1;TLE3"
"HALLMARK_KRAS_SIGNALING_DN",0.130869130869131,0.471128871128871,0.11776578836269,-0.259566991471187,-1.14562560730598,176,"TFCP2L1;TGFB2;NUDT11;SPTBN2;CHST2;SLC25A23;FGF16;ITGB1BP2;MAGIX;KCND1;SMPX;RIBC2;SOX10;VPREB1;P2RX6;PRODH;TFF2;KCNE2;OXT;TNNI3;CKM;ZNF112;NPHS1;ATP4A;KCNN1;SLC5A5;FGF22;SERPINB2;CACNG1;KRT15;KRT13;PNMT;MYO15A;ALOX12B;YBX2;GP1BA;HSD11B2;CDH16;SLC12A3;MEFV;ARHGDIG;RGS11;SERPINA10;NGB;TGM1;MYH7;CCNA1;NOS1;KRT4;KRT5;NTF3;NRIP2;ABCG4;SLC29A3;CNTFR;TEX15;TAS2R4;AKR1B10;CPA2;WNT16;UPK3B;HTR1B;TFAP2B;CYP39A1;DLK2;EDN1;PROP1;SNCB;KCNMB1;TENM2;IL12B;SYNPO;PCDHB1;IL5;GDNF;SLC6A3;EGF;BMPR1B;GRID2;AMBN;UGT2B17;EPHA5;FGFR3;CLDN16;SHOX2;CPB1;CD80;ITIH3;SLC38A3;CCR8;SCN10A;ARPP21;THRB;CHRNG;PAX3;ABCB11;THNSL2;TCF7L1;ATP6V1B1;SLC30A3;CAPN9;KLHDC8A;PKP1;BRDT;PTGFR;EDN2;GPR3;HTR1D"
"HALLMARK_ALLOGRAFT_REJECTION",1,1,0,-0.114693439343367,-0.508214857961814,190,"CCL22;SPI1;TGFB2;FCGR2B;CRTAM;ICAM1;THY1;IRF7"
"HALLMARK_ANGIOGENESIS",0.443064182194617,1,0.052805004567129,-0.269204439416685,-1.02362053224766,36,"COL5A2;PDGFA;THBD;JAG1;PGLYRP1;APOH;VTN;JAG2;SERPINA5;POSTN;LUM;KCNJ8;OLR1;PRG2;LPL;TNFRSF21;PF4;CXCL6;MSX1;SLCO2A1"
"HALLMARK_APICAL_JUNCTION",0.895104895104895,1,0.0156180851425484,-0.190059369474177,-0.843247460873402,193,"NEGR1;CLDN4;PARD6G;NLGN2;ICAM1;PBX2;THY1;INPPL1;TRO;SHROOM2;CLDN5;CLDN14;ADAMTS5;CDH4;SIRPA;NECTIN2;ATP1A3;ICAM5;ICAM4;CD209;CRB3;AMH;MADCAM1;DSC1;DSC3;BAIAP2;ITGB4;WNK4;JUP;GRB7;ALOX15B;CLDN7;CDH15;CALB2;CDH1;CDH3;CDH8;CX3CL1"
"HALLMARK_APICAL_SURFACE",0.843718079673136,1,0.0210003441275487,-0.200462234320728,-0.779002663718509,42,"CROCC;THY1;SHROOM2;SCUBE1;SLC2A4;RTN4RL1;CX3CL1;RHCG"
"HALLMARK_COAGULATION",0.922077922077922,1,0.0132626420191661,-0.182817448663875,-0.795480068203899,134,"F3;PRSS23;HTRA1;DUSP6;F9;RGN;TMPRSS6;TIMP3;MMP11;HNF4A;THBD;APOC2;APOC1;HPN;COMP;C3;CFD;SERPINB2;ITGB3;GP1BA;MMP15;MMP14;PROZ;F10;DCT;RAPGEF3;OLR1;C1R;VWF;APOC3;MMP3;MMP10;MMP8;CAPN5;SERPING1;F2;CPN1;PLAU;C8G;CTSV;GDA;PLG;MEP1A;CFB;C2;C9;F11;KLKB1;FGA;CFI;PF4;HRG;P2RY1;TF;GP9;PROS1;ACOX2;ITIH1;MST1;PROC;LEFTY2;CTSE;F13B;SERPINC1;S100A1;HMGCS2;C8A;MASP2;MMP9;C1QA;CAPN2;ANG;PLEK;TFPI2;PEF1;ISCU;CTSK;MAFF;ANXA1;CPB2;BMP1;MMP7;F12;SERPINE1;CPQ;LAMP2;THBS1"
