Condition,Day,Ncells,Naive_n,PreGC_n,GC_n,Memory_n,Plasma_n,Naive_pct,PreGC_pct,GC_pct,Memory_pct,Plasma_pct
Ctrl,4,130,118,1,0,11,0,90.7692307692308,0.769230769230769,0,8.46153846153846,0
Ctrl,8,242,134,12,52,39,5,55.3719008264463,4.95867768595041,21.4876033057851,16.1157024793388,2.06611570247934
Ctrl,12,42,7,4,25,6,0,16.6666666666667,9.52380952380952,59.5238095238095,14.2857142857143,0
Ctrl,16,197,144,6,33,13,1,73.0964467005076,3.04568527918782,16.751269035533,6.5989847715736,0.50761421319797
Ctrl,20,143,54,7,43,34,5,37.7622377622378,4.89510489510489,30.0699300699301,23.7762237762238,3.4965034965035
Vaccine,4,116,112,1,0,3,0,96.551724137931,0.862068965517241,0,2.58620689655172,0
Vaccine,8,50,6,3,30,4,7,12,6,60,8,14
Vaccine,12,86,6,2,53,2,23,6.97674418604651,2.32558139534884,61.6279069767442,2.32558139534884,26.7441860465116
Vaccine,16,112,45,15,36,8,8,40.1785714285714,13.3928571428571,32.1428571428571,7.14285714285714,7.14285714285714
Vaccine,20,61,11,26,16,1,7,18.0327868852459,42.6229508196721,26.2295081967213,1.63934426229508,11.4754098360656
